idsku;ultimocusto
4680;39.34
VIR-4680-ML;39.34
VIR-4680-ML1;39.34
VIR-7497-ML1;39.1603
VIR-7499-ML2;39.1603
2872;39.13279
VIR-3529-ML;39.0861
4280;39.04
2789;39
3143;39
3145;39
VIR-4433-ML;39
3134;38.999
3135;38.999
3484;38.9988
3129;38.9987
3131;38.9987
3124;38.9986
3126;38.9983
3133;38.9983
3144;38.9983
3480;38.9983
3136;38.9981
2867;38.88
VIR-ML-0003;38.878
7591;38.84
3801;38.78
7565;38.703
VIR-7943-ML;38.67
1654;38.667
3970;38.503333
VIR-3970-ML;38.503333
4829;38.5
4811;38.398
3127;38.3979
7977;38.235
VIR-3825-ML;38.22
7979;38.216
3888;38.095
VIR-5156-ML;38
7783;37.955
7169;37.9
7600;37.87
2681;37.804295
2790;37.8
VIR-2631-ML;37.78
7838;37.7298
2891;37.484
VIR-1013-ML;37.4817
7858;37.44
VIR-5355-ML;37.38
VIR-7910-ML1;37.36899
VIR-1225-ML;37.24
7662;36.826667
VIR-649-ML;36.8115
4307;36.7944
VIR-2429-MLP;36.79099
3373;36.66
7539;36.61
VIR-6684-MLP;36.52818
812;36.43
7482;36.41
VIR-7482-ML;36.41
1607;36.345
VIR-1607-ML;36.345
5824;36.14
1721;36.08
1081;36.0475
VIR-1081-ML;36.0475
VIR-4524-ML;36
VIR-7913-ML1;36
2443;35.9
8003;35.9
4650;35.8975
7767;35.82
2744;35.815
7381;35.79
4233;35.785
VIR-2636-ML;35.75
7953;35.713
8035;35.712
VIR-4479-MLP;35.625
4330;35.62
7626;35.5878
3290;35.484
2806;35.4
VIR-3215-ML1;35.376
3802;35.31
VIR-613-ML;35.240668
4235;35.14
7731;35.098
VIR-2699-ML;35.084596
3634;35
7814;35
VIR-2701-ML;35
VIR-4724-ML;35
VIR-5435-ML1;35
4274;34.94
7743;34.89
4291;34.85
VIR-2312-ML;34.85
6641;34.846481
3125;34.822
3123;34.82175
3128;34.82175
3150;34.82175
3479;34.82175
4808;34.821616
3132;34.8216
3130;34.8213
3148;34.821
3139;34.82
3146;34.82
3147;34.82
3481;34.82
7968;34.814
8076;34.74666
CORP-112;34.745
7735;34.57
5679;34.56
4920;34.54
2615;34.520166
7186;34.51
6638;34.4666
8034;34.421226
4817;34.277
VIR-5426-MLP;34.275
8037;34.105
7382;34.092
4310;33.9856
2484;33.975325
1915;33.9
2616;33.86
2745;33.86
4271;33.8433
VIR-1326-ML;33.84
4323;33.835
7672;33.75
7379;33.7463
7680;33.716667
4332;33.7016
6732;33.6
VIR-3526-ML;33.5
VIR-3527-ML;33.5
376;33.4
VIR-5578-ML;33.4
1394;33.327
VIR-1394-ML;33.327
8007;33.3086
1629;33.223333
1362;33.118
1363;33.118
VIR-1362-ML;33.118
VIR-1363-ML;33.118
2808;33
7605;33
VIR-2269-ML;33
VIR-4720-ML1;33
VIR-581-ML;33
VIR-926-ML;33
3997;32.996666
1380;32.98
VIR-1380-ML;32.98
7540;32.93
4806;32.92
4807;32.92
4812;32.92
4818;32.92
4819;32.92
4820;32.92
2572;32.9
2595;32.9
VIR-2595-1;32.9
VIR-5109-MLP;32.88992
607;32.73
7380;32.7
VIR-1252-ML1;32.7
4331;32.632
4825;32.63
1827;32.62
VIR-1827-ML;32.62
1355;32.61
VIR-5584-ML1;32.595
VIR-2229-ML;32.44416
VIR-2529-MLP;32.3
VIR-6749-ML;32.151
VIR-5022-ML;32.14
VIR-1421-ML6;32.114636
VIR-5591-ML;32.108
4327;32.0005
4206;32
VIR-1844-ML;32
3917;31.979
7728;31.94
3992;31.9
631;31.9
6863;31.8
VIR-DIVI-ML;31.76266
VIR-KIT-POT;31.76
725;31.752
VIR-725-ML;31.752
4325;31.61
4814;31.61
VIR-7938-ML;31.6
CORP-107;31.55
